career_id,skill_id,importance
1,16,MEDIUM
1,17,HIGH
1,18,HIGH
1,19,MEDIUM
1,20,MEDIUM
1,21,MEDIUM
1,22,MEDIUM
1,23,MEDIUM
1,24,MEDIUM
1,25,MEDIUM
1,26,MEDIUM
1,27,MEDIUM
1,28,MEDIUM
1,29,MEDIUM
1,30,MEDIUM
1,71,MEDIUM
1,82,HIGH
2,16,MEDIUM
2,17,HIGH
2,18,HIGH
2,19,HIGH
2,20,MEDIUM
2,21,MEDIUM
2,22,HIGH
2,23,MEDIUM
2,24,MEDIUM
2,25,MEDIUM
2,26,MEDIUM
2,27,MEDIUM
2,28,MEDIUM
2,29,MEDIUM
2,30,MEDIUM
2,68,MEDIUM
2,69,MEDIUM
2,73,MEDIUM
2,83,HIGH
2,84,HIGH
3,22,HIGH
3,55,MEDIUM
3,56,HIGH
3,57,MEDIUM
3,58,MEDIUM
3,59,MEDIUM
3,60,MEDIUM
3,61,MEDIUM
3,62,MEDIUM
3,63,MEDIUM
3,64,MEDIUM
3,65,HIGH
3,70,MEDIUM
3,73,MEDIUM
4,55,MEDIUM
4,56,HIGH
4,57,MEDIUM
4,58,MEDIUM
4,59,MEDIUM
4,60,MEDIUM
4,61,MEDIUM
4,62,MEDIUM
4,63,MEDIUM
4,64,MEDIUM
4,65,HIGH
4,66,HIGH
4,73,MEDIUM
5,66,MEDIUM
5,68,MEDIUM
5,34,MEDIUM
6,14,HIGH
6,15,HIGH
6,31,HIGH
6,32,MEDIUM
6,33,MEDIUM
6,34,MEDIUM
6,35,MEDIUM
6,36,MEDIUM
6,37,MEDIUM
6,38,MEDIUM
6,39,MEDIUM
6,40,MEDIUM
6,41,MEDIUM
6,42,MEDIUM
6,43,HIGH
6,44,MEDIUM
6,45,MEDIUM
6,68,MEDIUM
6,70,MEDIUM
6,71,MEDIUM
6,75,MEDIUM
7,55,MEDIUM
7,56,HIGH
7,57,MEDIUM
7,58,MEDIUM
7,59,MEDIUM
7,60,MEDIUM
7,61,MEDIUM
7,62,MEDIUM
7,63,MEDIUM
7,64,MEDIUM
7,65,HIGH
7,67,MEDIUM
7,70,MEDIUM
7,73,MEDIUM
8,7,HIGH
8,16,MEDIUM
8,17,HIGH
8,18,HIGH
8,19,MEDIUM
8,20,MEDIUM
8,21,MEDIUM
8,22,MEDIUM
8,23,MEDIUM
8,24,MEDIUM
8,25,MEDIUM
8,26,MEDIUM
8,27,MEDIUM
8,28,MEDIUM
8,29,MEDIUM
8,30,MEDIUM
8,65,HIGH
8,69,MEDIUM
8,75,MEDIUM
9,55,MEDIUM
9,56,HIGH
9,57,MEDIUM
9,58,MEDIUM
9,59,MEDIUM
9,60,MEDIUM
9,61,MEDIUM
9,62,MEDIUM
9,63,MEDIUM
9,64,HIGH
9,65,MEDIUM
9,66,HIGH
9,67,MEDIUM
9,68,MEDIUM
9,69,MEDIUM
9,70,MEDIUM
9,72,MEDIUM
9,73,MEDIUM
10,67,MEDIUM
10,76,HIGH
10,77,HIGH
10,78,HIGH
10,79,MEDIUM
10,80,MEDIUM
10,81,MEDIUM
10,82,MEDIUM
10,83,MEDIUM
10,84,MEDIUM
11,55,MEDIUM
11,56,HIGH
11,57,MEDIUM
11,58,MEDIUM
11,59,MEDIUM
11,60,MEDIUM
11,61,MEDIUM
11,62,MEDIUM
11,63,MEDIUM
11,64,MEDIUM
11,65,MEDIUM
11,67,MEDIUM
12,70,MEDIUM
12,72,MEDIUM
12,75,MEDIUM
13,7,HIGH
13,16,MEDIUM
13,17,HIGH
13,18,HIGH
13,19,MEDIUM
13,20,MEDIUM
13,21,MEDIUM
13,22,MEDIUM
13,23,MEDIUM
13,24,MEDIUM
13,25,MEDIUM
13,26,MEDIUM
13,27,MEDIUM
13,28,MEDIUM
13,29,MEDIUM
13,30,MEDIUM
13,65,HIGH
13,68,MEDIUM
14,58,HIGH
14,65,HIGH
14,66,HIGH
14,69,MEDIUM
14,74,MEDIUM
14,75,MEDIUM
15,55,MEDIUM
15,56,HIGH
15,57,MEDIUM
15,58,MEDIUM
15,59,MEDIUM
15,60,MEDIUM
15,61,MEDIUM
15,62,MEDIUM
15,63,MEDIUM
15,64,MEDIUM
15,65,MEDIUM
15,66,MEDIUM
15,69,MEDIUM
15,72,MEDIUM
16,16,MEDIUM
16,17,HIGH
16,18,HIGH
16,19,MEDIUM
16,20,MEDIUM
16,21,MEDIUM
16,22,MEDIUM
16,23,MEDIUM
16,24,MEDIUM
16,25,MEDIUM
16,26,MEDIUM
16,27,MEDIUM
16,28,MEDIUM
16,29,MEDIUM
16,30,MEDIUM
16,67,HIGH
16,68,MEDIUM
16,69,MEDIUM
16,70,MEDIUM
16,71,MEDIUM
16,73,MEDIUM
16,82,HIGH
17,55,MEDIUM
17,56,HIGH
17,57,MEDIUM
17,58,MEDIUM
17,59,MEDIUM
17,60,MEDIUM
17,61,MEDIUM
17,62,MEDIUM
17,63,MEDIUM
17,64,HIGH
17,65,MEDIUM
17,66,MEDIUM
17,67,HIGH
17,68,MEDIUM
17,73,MEDIUM
18,75,MEDIUM
18,76,HIGH
18,77,HIGH
18,78,MEDIUM
18,79,MEDIUM
18,80,MEDIUM
18,81,MEDIUM
18,82,HIGH
18,83,MEDIUM
18,84,MEDIUM
19,66,HIGH
19,67,MEDIUM
19,72,MEDIUM
19,73,MEDIUM
20,67,MEDIUM
20,69,MEDIUM
20,71,MEDIUM
20,75,MEDIUM
21,2,HIGH
21,4,HIGH
21,14,HIGH
21,15,HIGH
21,31,HIGH
21,32,MEDIUM
21,33,MEDIUM
21,34,MEDIUM
21,35,MEDIUM
21,36,MEDIUM
21,37,MEDIUM
21,38,MEDIUM
21,39,MEDIUM
21,40,MEDIUM
21,41,MEDIUM
21,42,MEDIUM
21,43,HIGH
21,44,MEDIUM
21,45,MEDIUM
21,75,MEDIUM
22,1,HIGH
22,2,HIGH
22,34,HIGH
23,14,HIGH
23,15,HIGH
23,31,HIGH
23,32,MEDIUM
23,33,MEDIUM
23,34,MEDIUM
23,35,MEDIUM
23,36,MEDIUM
23,37,MEDIUM
23,38,MEDIUM
23,39,MEDIUM
23,40,MEDIUM
23,41,MEDIUM
23,42,MEDIUM
23,43,HIGH
23,44,MEDIUM
23,45,MEDIUM
23,66,MEDIUM
23,68,MEDIUM
24,66,MEDIUM
24,68,MEDIUM
24,82,MEDIUM
25,16,MEDIUM
25,17,HIGH
25,18,HIGH
25,19,MEDIUM
25,20,MEDIUM
25,21,MEDIUM
25,22,MEDIUM
25,23,MEDIUM
25,24,MEDIUM
25,25,MEDIUM
25,26,MEDIUM
25,27,MEDIUM
25,28,MEDIUM
25,29,MEDIUM
25,30,MEDIUM
25,69,MEDIUM
25,72,MEDIUM
26,51,HIGH
26,66,MEDIUM
26,68,MEDIUM
26,69,MEDIUM
26,71,MEDIUM
27,70,MEDIUM
27,75,MEDIUM
27,8,MEDIUM
28,69,MEDIUM
28,36,MEDIUM
28,78,MEDIUM
29,67,HIGH
29,74,MEDIUM
29,20,MEDIUM
30,16,MEDIUM
30,17,HIGH
30,18,HIGH
30,19,MEDIUM
30,20,MEDIUM
30,21,MEDIUM
30,22,MEDIUM
30,23,MEDIUM
30,24,MEDIUM
30,25,MEDIUM
30,26,MEDIUM
30,27,MEDIUM
30,28,MEDIUM
30,29,MEDIUM
30,30,MEDIUM
30,66,MEDIUM
30,69,MEDIUM
31,67,MEDIUM
31,69,MEDIUM
31,82,HIGH
32,70,MEDIUM
32,72,MEDIUM
32,33,MEDIUM
33,16,MEDIUM
33,17,HIGH
33,18,HIGH
33,19,MEDIUM
33,20,MEDIUM
33,21,MEDIUM
33,22,MEDIUM
33,23,MEDIUM
33,24,MEDIUM
33,25,MEDIUM
33,26,MEDIUM
33,27,MEDIUM
33,28,MEDIUM
33,29,MEDIUM
33,30,MEDIUM
33,66,MEDIUM
33,70,MEDIUM
33,74,MEDIUM
33,82,HIGH
34,82,HIGH
34,50,MEDIUM
34,59,MEDIUM
35,67,MEDIUM
35,69,MEDIUM
35,70,MEDIUM
36,66,MEDIUM
36,67,MEDIUM
36,69,MEDIUM
36,82,HIGH
37,22,HIGH
37,65,HIGH
37,67,MEDIUM
37,69,MEDIUM
37,71,MEDIUM
38,22,HIGH
38,65,HIGH
38,68,MEDIUM
38,74,MEDIUM
39,66,MEDIUM
39,68,MEDIUM
39,72,MEDIUM
39,75,MEDIUM
40,16,MEDIUM
40,17,HIGH
40,18,HIGH
40,19,MEDIUM
40,20,MEDIUM
40,21,MEDIUM
40,22,MEDIUM
40,23,MEDIUM
40,24,MEDIUM
40,25,MEDIUM
40,26,MEDIUM
40,27,MEDIUM
40,28,MEDIUM
40,29,MEDIUM
40,30,MEDIUM
40,55,MEDIUM
40,56,HIGH
40,57,MEDIUM
40,58,MEDIUM
40,59,MEDIUM
40,60,MEDIUM
40,61,MEDIUM
40,62,MEDIUM
40,63,MEDIUM
40,64,MEDIUM
40,65,MEDIUM
40,66,HIGH
40,71,MEDIUM
40,73,MEDIUM
40,75,MEDIUM
41,16,MEDIUM
41,17,HIGH
41,18,HIGH
41,19,MEDIUM
41,20,MEDIUM
41,21,MEDIUM
41,22,MEDIUM
41,23,MEDIUM
41,24,MEDIUM
41,25,MEDIUM
41,26,MEDIUM
41,27,MEDIUM
41,28,MEDIUM
41,29,MEDIUM
41,30,MEDIUM
41,55,MEDIUM
41,56,HIGH
41,57,MEDIUM
41,58,MEDIUM
41,59,MEDIUM
41,60,MEDIUM
41,61,MEDIUM
41,62,MEDIUM
41,63,MEDIUM
41,64,MEDIUM
41,65,MEDIUM
41,76,HIGH
41,77,HIGH
41,78,MEDIUM
41,79,MEDIUM
41,80,MEDIUM
41,81,MEDIUM
41,82,MEDIUM
41,83,MEDIUM
41,84,MEDIUM
42,31,HIGH
42,32,MEDIUM
42,33,MEDIUM
42,34,MEDIUM
42,35,MEDIUM
42,36,MEDIUM
42,37,MEDIUM
42,38,MEDIUM
42,39,MEDIUM
42,40,MEDIUM
42,41,MEDIUM
42,42,MEDIUM
42,43,HIGH
42,44,MEDIUM
42,45,MEDIUM
42,58,HIGH
42,66,HIGH
42,67,MEDIUM
42,69,MEDIUM
42,71,MEDIUM
43,43,HIGH
43,66,HIGH
43,67,MEDIUM
43,69,MEDIUM
43,72,MEDIUM
43,74,MEDIUM
43,75,MEDIUM
44,51,HIGH
44,66,MEDIUM
44,70,MEDIUM
45,66,MEDIUM
45,69,HIGH
45,72,MEDIUM
45,75,MEDIUM
46,68,HIGH
46,75,MEDIUM
46,10,MEDIUM
47,68,MEDIUM
47,71,MEDIUM
47,75,MEDIUM
47,82,HIGH
48,71,MEDIUM
48,74,MEDIUM
48,76,HIGH
48,77,HIGH
48,78,MEDIUM
48,79,MEDIUM
48,80,MEDIUM
48,81,MEDIUM
48,82,MEDIUM
48,83,MEDIUM
48,84,MEDIUM
49,66,HIGH
49,68,MEDIUM
49,71,MEDIUM
49,73,MEDIUM
50,69,MEDIUM
50,74,MEDIUM
50,45,MEDIUM
51,71,MEDIUM
51,73,MEDIUM
51,2,MEDIUM
52,66,MEDIUM
52,68,MEDIUM
52,69,MEDIUM
52,72,MEDIUM
52,74,MEDIUM
52,75,MEDIUM
53,7,HIGH
53,65,HIGH
53,68,MEDIUM
54,66,MEDIUM
54,67,MEDIUM
54,69,MEDIUM
54,70,MEDIUM
54,71,MEDIUM
54,73,MEDIUM
54,74,MEDIUM
54,75,MEDIUM
55,7,HIGH
55,55,MEDIUM
55,56,HIGH
55,57,MEDIUM
55,58,MEDIUM
55,59,MEDIUM
55,60,MEDIUM
55,61,MEDIUM
55,62,MEDIUM
55,63,MEDIUM
55,64,MEDIUM
55,65,MEDIUM
55,69,MEDIUM
55,75,MEDIUM
56,66,HIGH
56,68,MEDIUM
56,71,MEDIUM
56,75,MEDIUM
57,7,HIGH
57,39,HIGH
57,65,HIGH
58,18,HIGH
58,22,HIGH
58,67,MEDIUM
58,71,MEDIUM
58,74,MEDIUM
58,75,MEDIUM
58,84,HIGH
59,55,MEDIUM
59,56,HIGH
59,57,MEDIUM
59,58,MEDIUM
59,59,MEDIUM
59,60,MEDIUM
59,61,MEDIUM
59,62,MEDIUM
59,63,MEDIUM
59,64,MEDIUM
59,65,MEDIUM
59,66,MEDIUM
59,70,MEDIUM
59,72,MEDIUM
60,55,MEDIUM
60,56,HIGH
60,57,MEDIUM
60,58,MEDIUM
60,59,MEDIUM
60,60,MEDIUM
60,61,MEDIUM
60,62,MEDIUM
60,63,MEDIUM
60,64,MEDIUM
60,65,HIGH
60,66,MEDIUM
60,69,MEDIUM
61,66,HIGH
61,69,MEDIUM
61,72,MEDIUM
61,73,MEDIUM
62,55,MEDIUM
62,56,HIGH
62,57,MEDIUM
62,58,MEDIUM
62,59,MEDIUM
62,60,MEDIUM
62,61,MEDIUM
62,62,MEDIUM
62,63,MEDIUM
62,64,MEDIUM
62,65,MEDIUM
63,21,HIGH
63,67,MEDIUM
63,72,MEDIUM
63,73,MEDIUM
63,75,MEDIUM
63,82,HIGH
64,16,MEDIUM
64,17,HIGH
64,18,HIGH
64,19,MEDIUM
64,20,MEDIUM
64,21,MEDIUM
64,22,MEDIUM
64,23,MEDIUM
64,24,MEDIUM
64,25,MEDIUM
64,26,MEDIUM
64,27,MEDIUM
64,28,MEDIUM
64,29,MEDIUM
64,30,MEDIUM
64,72,MEDIUM
65,22,HIGH
65,71,MEDIUM
65,72,MEDIUM
65,73,MEDIUM
65,75,MEDIUM
65,82,HIGH
66,65,HIGH
66,71,MEDIUM
66,23,MEDIUM
67,55,MEDIUM
67,56,HIGH
67,57,MEDIUM
67,58,MEDIUM
67,59,MEDIUM
67,60,MEDIUM
67,61,MEDIUM
67,62,MEDIUM
67,63,MEDIUM
67,64,MEDIUM
67,65,MEDIUM
67,69,MEDIUM
67,70,MEDIUM
67,72,MEDIUM
67,73,MEDIUM
67,76,HIGH
67,77,HIGH
67,78,MEDIUM
67,79,MEDIUM
67,80,MEDIUM
67,81,MEDIUM
67,82,MEDIUM
67,83,MEDIUM
67,84,MEDIUM
68,58,HIGH
68,66,HIGH
68,68,MEDIUM
69,16,MEDIUM
69,17,HIGH
69,18,HIGH
69,19,MEDIUM
69,20,MEDIUM
69,21,MEDIUM
69,22,HIGH
69,23,MEDIUM
69,24,MEDIUM
69,25,MEDIUM
69,26,MEDIUM
69,27,MEDIUM
69,28,MEDIUM
69,29,MEDIUM
69,30,MEDIUM
69,58,HIGH
69,66,HIGH
69,75,MEDIUM
70,31,HIGH
70,32,MEDIUM
70,33,MEDIUM
70,34,MEDIUM
70,35,MEDIUM
70,36,MEDIUM
70,37,MEDIUM
70,38,MEDIUM
70,39,MEDIUM
70,40,MEDIUM
70,41,MEDIUM
70,42,MEDIUM
70,43,HIGH
70,44,MEDIUM
70,45,MEDIUM
70,55,MEDIUM
70,56,HIGH
70,57,MEDIUM
70,58,MEDIUM
70,59,MEDIUM
70,60,MEDIUM
70,61,MEDIUM
70,62,HIGH
70,63,HIGH
70,64,MEDIUM
70,65,MEDIUM
70,66,MEDIUM
70,74,MEDIUM
