id,title,provider,career,skills,duration,level
1,Python for Data Science and AI - Edition 1,Simplilearn,Software Engineer,"Data Structures,Algorithms,Machine Learning",7,Advanced
2,Mastering Data Structures & Algorithms - Edition 1,Great Learning,AI/ML Engineer,"Data Structures,Algorithms,Machine Learning",10,Advanced
3,React - The Complete Guide - Edition 1,Simplilearn,Data Analyst,"Statistics,Product Management,Business Analysis",10,Intermediate
4,Machine Learning Specialization - Edition 1,Great Learning,Product Manager,"Product Management,Business Analysis,Financial Accounting",19,Advanced
5,Deep Learning and Neural Networks - Edition 1,edX,Cybersecurity Analyst,"Node.js,Communication,Public Speaking",14,Advanced
6,AWS Certified Solutions Architect - Edition 1,Simplilearn,UI/UX Designer,"HTML,CSS,React",13,Intermediate
7,UI/UX Design Masterclass - Edition 1,Coursera,Chartered Accountant,"Product Management,Business Analysis,Financial Accounting",11,Beginner
8,Introduction to Financial Accounting - Edition 1,Simplilearn,Civil Servant (IAS/IPS),"Go,Data Structures,Algorithms",4,Advanced
9,Product Management Fundamental Course - Edition 1,Great Learning,Management Consultant,"Product Management,Business Analysis,Financial Accounting",9,Intermediate
10,Cybersecurity Threat Detection and Mitigation - Edition 1,Google Career Certificates,Biotechnology Researcher,"Leadership,Research Methodology,Academic Writing",10,Beginner
11,Academic Writing & Research Methodology - Edition 1,Udemy,Cloud Architect,"Product Management,Business Analysis,Financial Accounting",4,Advanced
12,SQL Masterclass: SQL for Analytics - Edition 1,Great Learning,DevOps Engineer,"Creative Writing,Time Management,Negotiation",7,Beginner
13,Full-Stack Web Development Bootcamp - Edition 1,SWAYAM,Investment Banker,"Go,Data Structures,Algorithms",24,Intermediate
14,Google Project Management Certificate - Edition 1,Coursera,Marketing Manager,"Marketing,Economics,Communication",15,Beginner
15,UPSC Preparation: Indian Polity and History - Edition 1,Simplilearn,Corporate Lawyer,"Product Management,Business Analysis,Financial Accounting",40,Advanced
16,Corporate Law & Contract Drafting - Edition 1,Udemy,Defense Officer (Army/Navy/Air Force),"Data Structures,Algorithms,Machine Learning",14,Intermediate
17,Embedded C Programming for IoT Devices - Edition 1,Udemy,Entrepreneur,"Product Management,Business Analysis,Financial Accounting",14,Beginner
18,Statistical Inference for Researchers - Edition 1,Coursera,Research Scientist,"Negotiation,Research Methodology,Academic Writing",6,Advanced
19,Business Strategy & Finance for Founders - Edition 1,NPTEL,Public Relations Specialist,"Communication,Leadership,Time Management",12,Beginner
20,Technical Writing for Software Engineers - Edition 1,Coursera,Data Engineer,"Leadership,Technical Writing,Problem Solving",7,Beginner
21,Python for Data Science and AI - Edition 2,NPTEL,Frontend Developer,"Java,JavaScript,HTML",6,Intermediate
22,Mastering Data Structures & Algorithms - Edition 2,SWAYAM,Backend Developer,"Python,Java,Node.js",12,Advanced
23,React - The Complete Guide - Edition 2,Coursera,Full Stack Developer,"HTML,CSS,React",8,Beginner
24,Machine Learning Specialization - Edition 2,SWAYAM,Mobile App Developer,"Communication,Public Speaking,Mathematics",16,Beginner
25,Deep Learning and Neural Networks - Edition 2,Udemy,Database Administrator,"Data Structures,Algorithms,Machine Learning",16,Intermediate
26,AWS Certified Solutions Architect - Edition 2,Udemy,Game Developer,"3D Modeling,Communication,Public Speaking",14,Intermediate
27,UI/UX Design Masterclass - Edition 2,NPTEL,QA Automation Engineer,"Rust,Creative Writing,Negotiation",12,Intermediate
28,Introduction to Financial Accounting - Edition 2,edX,Network Security Engineer,"Django,Technical Writing,Biotechnology",7,Beginner
29,Product Management Fundamental Course - Edition 2,Udemy,Cloud DevOps Architect,"Natural Language Processing,Leadership,Teamwork",6,Intermediate
30,Cybersecurity Threat Detection and Mitigation - Edition 2,Coursera,Systems Administrator,"Data Structures,Algorithms,Machine Learning",14,Advanced
31,Academic Writing & Research Methodology - Edition 2,Simplilearn,VLSI Design Engineer,"Leadership,Technical Writing,Mathematics",7,Intermediate
32,SQL Masterclass: SQL for Analytics - Edition 2,Great Learning,Embedded Systems Engineer,"Vue.js,Creative Writing,Time Management",6,Intermediate
33,Full-Stack Web Development Bootcamp - Edition 2,Simplilearn,Aerospace Engineer,"Data Structures,Algorithms,Machine Learning",28,Advanced
34,Google Project Management Certificate - Edition 2,NPTEL,Mechanical Design Engineer,"Graphic Design,SEO,Mathematics",15,Beginner
35,UPSC Preparation: Indian Polity and History - Edition 2,Great Learning,Civil Site Engineer,"Leadership,Technical Writing,Creative Writing",41,Beginner
36,Corporate Law & Contract Drafting - Edition 2,Coursera,Chemical Engineer,"Communication,Leadership,Technical Writing",12,Intermediate
37,Embedded C Programming for IoT Devices - Edition 2,edX,Financial Risk Analyst,"Statistics,Economics,Leadership",11,Advanced
38,Statistical Inference for Researchers - Edition 2,Coursera,Stock Trader / Portfolio Manager,"Statistics,Economics,Public Speaking",6,Intermediate
39,Business Strategy & Finance for Founders - Edition 2,Great Learning,Tax Consultant,"Communication,Public Speaking,Time Management",11,Beginner
40,Technical Writing for Software Engineers - Edition 2,Udemy,Human Resource Manager,"Data Structures,Algorithms,Machine Learning",3,Intermediate
41,Python for Data Science and AI - Edition 3,Udemy,Operations Manager,"Data Structures,Algorithms,Machine Learning",9,Intermediate
42,Mastering Data Structures & Algorithms - Edition 3,Google Career Certificates,SEO & Content Writer,"React,Angular,Vue.js",10,Beginner
43,React - The Complete Guide - Edition 3,Coursera,Journalist & Media Reporter,"Git,Communication,Leadership",11,Advanced
44,Machine Learning Specialization - Edition 3,Coursera,3D Animator & Visual Artist,"3D Modeling,Communication,Creative Writing",17,Advanced
45,Deep Learning and Neural Networks - Edition 3,Udemy,Patent Attorney,"Communication,Technical Writing,Time Management",17,Intermediate
46,AWS Certified Solutions Architect - Edition 3,Coursera,Criminal Defense Lawyer,"Kotlin,Public Speaking,Negotiation",15,Intermediate
47,UI/UX Design Masterclass - Edition 3,Great Learning,High School Physics Teacher,"Public Speaking,Problem Solving,Negotiation",9,Advanced
48,Introduction to Financial Accounting - Edition 3,Simplilearn,College Professor (Computer Science),"Problem Solving,Teamwork,Research Methodology",4,Intermediate
49,Product Management Fundamental Course - Edition 3,edX,Clinical Psychologist,"Communication,Public Speaking,Problem Solving",7,Intermediate
50,Cybersecurity Threat Detection and Mitigation - Edition 3,NPTEL,Clinical Research Associate,"GraphQL,Technical Writing,Teamwork",11,Beginner
51,Academic Writing & Research Methodology - Edition 3,NPTEL,Pharmacist,"Java,Problem Solving,Critical Thinking",5,Advanced
52,SQL Masterclass: SQL for Analytics - Edition 3,edX,General Medical Practitioner,"Communication,Public Speaking,Technical Writing",4,Advanced
53,Full-Stack Web Development Bootcamp - Edition 3,Great Learning,Agricultural Officer,"Go,Economics,Public Speaking",22,Intermediate
54,Google Project Management Certificate - Edition 3,Coursera,Food Technologist,"Communication,Leadership,Technical Writing",16,Intermediate
55,UPSC Preparation: Indian Polity and History - Edition 3,Coursera,Environmental Consultant,"Go,Product Management,Business Analysis",44,Beginner
56,Corporate Law & Contract Drafting - Edition 3,edX,Social Worker (NGO Manager),"Communication,Public Speaking,Problem Solving",10,Advanced
57,Embedded C Programming for IoT Devices - Edition 3,Google Career Certificates,Public Policy Analyst,"Go,AWS,Economics",12,Beginner
58,Statistical Inference for Researchers - Edition 3,SWAYAM,Data Scientist,"Machine Learning,Statistics,Leadership",6,Advanced
59,Business Strategy & Finance for Founders - Edition 3,edX,Cybersecurity Consultant,"Product Management,Business Analysis,Financial Accounting",8,Intermediate
60,Technical Writing for Software Engineers - Edition 3,edX,Enterprise Risk Consultant,"Product Management,Business Analysis,Financial Accounting",5,Advanced
61,Python for Data Science and AI - Edition 4,edX,User Experience Researcher,"Communication,Technical Writing,Time Management",9,Advanced
62,Mastering Data Structures & Algorithms - Edition 4,edX,Solutions Architect,"Product Management,Business Analysis,Financial Accounting",13,Advanced
63,React - The Complete Guide - Edition 4,Coursera,Robotics Software Engineer,"Computer Vision,Leadership,Time Management",9,Intermediate
