education,branch,skills,interests,career_goal,experience,recommended_career
Undergraduate,Business/BBA,"Leadership,Business Strategy,Marketing,Product Management,Project Management,Public Speaking",Business,Marketing Manager,"2 projects, 1 internships",Product Manager
Undergraduate,Law/LLB,"Technical Writing,Leadership,Public Speaking,Law,Constitutional Law","Social Impact,Government Jobs",Criminal Defense Lawyer,"1 projects, 0 internships",Corporate Lawyer
Undergraduate,Law/LLB,"Negotiation,Communication,Law,Constitutional Law",Government Jobs,Criminal Defense Lawyer,"0 projects, 0 internships",Corporate Lawyer
Undergraduate,Business/BBA,"Sales,SEO,Project Management,Marketing,Leadership,Public Speaking",Media,Marketing Manager,"0 projects, 1 internships",Product Manager
Undergraduate,Science/B.Sc,"Python,Data Analytics,Statistics,Mathematics,NumPy,Data Visualization",Business,Actuarial Analyst,"2 projects, 0 internships",Data Analyst
Undergraduate,Commerce/B.Com,"Financial Accounting,Economics,Time Management,Data Analytics,Taxation","Government Jobs,Business,Finance",Chartered Accountant,"2 projects, 0 internships",Chartered Accountant
Undergraduate,Electronics & Communication,"Mathematics,Data Structures,Figma,Python",Engineering,VLSI Design Engineer,"1 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Business/BBA,"Product Management,Project Management,Business Strategy,SEO,Communication,Sales","Business,Management",Product Manager,"1 projects, 1 internships",Product Manager
Class 12,PCM Stream,"Physics Lab,Python,Communication,Mathematics,Writing,Chemistry Lab",Defence,Defense Officer (Army/Navy/Air Force),"2 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Science/B.Sc,"Mathematics,Data Analytics,SQL","Finance,Business",Financial Risk Analyst,"2 projects, 0 internships",Data Analyst
Undergraduate,Commerce/B.Com,"Data Analytics,Economics,Problem Solving,Scrum,Time Management","Finance,Business,Government Jobs",Investment Banker,"0 projects, 0 internships",Chartered Accountant
Undergraduate,Commerce/B.Com,"Problem Solving,Economics,Time Management,Financial Accounting,Scrum","Government Jobs,Finance,Business",Chartered Accountant,"2 projects, 0 internships",Chartered Accountant
Undergraduate,Computer Science,"CSS,HTML,JavaScript,React,C++,Node.js","Business,AI/ML,Technology",AI/ML Engineer,"0 projects, 1 internships",Software Engineer
Undergraduate,Commerce/B.Com,"Communication,Problem Solving,Taxation","Finance,Business",Chartered Accountant,"1 projects, 0 internships",Chartered Accountant
Undergraduate,Computer Science,"Python,JavaScript,Git","Business,AI/ML",AI/ML Engineer,"0 projects, 0 internships",Software Engineer
Undergraduate,Science/B.Sc,"Mathematics,Statistics,Python,Data Visualization","Research,Business",Financial Risk Analyst,"1 projects, 0 internships",Data Analyst
Undergraduate,Electronics & Communication,"Linear Algebra,AWS,Python,Physics Lab,Figma,Mathematics","Engineering,Research",Embedded Systems Engineer,"0 projects, 1 internships",Embedded Systems Engineer
Undergraduate,Science/B.Sc,"Mathematics,Statistics,Pandas,Communication,NumPy","Business,Research,Technology",Data Scientist,"1 projects, 0 internships",Data Analyst
Undergraduate,Electronics & Communication,"Physics Lab,Linear Algebra,C++,Data Structures,Python,Figma","Engineering,Research,Technology",VLSI Design Engineer,"0 projects, 1 internships",Embedded Systems Engineer
Class 12,PCM Stream,"Mathematics,Problem Solving,Writing,Communication",Engineering,High School Physics Teacher,"0 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Electronics & Communication,"Data Structures,Python,Linear Algebra,Mathematics,AWS,Figma",Engineering,IoT Systems Architect,"1 projects, 1 internships",Embedded Systems Engineer
Undergraduate,Commerce/B.Com,"Scrum,Economics,Time Management,Communication,Problem Solving","Government Jobs,Finance",Financial Consultant,"2 projects, 0 internships",Chartered Accountant
Undergraduate,Electronics & Communication,"C++,Data Structures,Kubernetes,Docker",Technology,VLSI Design Engineer,"1 projects, 1 internships",Embedded Systems Engineer
Undergraduate,Science/B.Sc,"Pandas,Data Analytics,Statistics,SQL,Mathematics","Technology,Finance",Data Analyst,"1 projects, 0 internships",Data Analyst
Undergraduate,Law/LLB,"Technical Writing,Law,Leadership,Constitutional Law,Public Speaking,Communication","Law,Government Jobs",Patent Attorney,"1 projects, 1 internships",Corporate Lawyer
Undergraduate,Commerce/B.Com,"Data Analytics,SQL,Problem Solving","Finance,Government Jobs,Business",Investment Banker,"2 projects, 1 internships",Chartered Accountant
Undergraduate,Business/BBA,"Public Speaking,Project Management,Product Management,Marketing,SEO","Entrepreneurship,Media",Product Manager,"2 projects, 1 internships",Product Manager
Undergraduate,Commerce/B.Com,"Problem Solving,Time Management,Taxation,Financial Accounting","Finance,Government Jobs,Business",Chartered Accountant,"1 projects, 0 internships",Chartered Accountant
Undergraduate,Law/LLB,"Constitutional Law,Negotiation,Leadership,Legal Writing,Technical Writing",Government Jobs,Corporate Lawyer,"1 projects, 0 internships",Corporate Lawyer
Undergraduate,Business/BBA,"Sales,SEO,Project Management,Business Strategy,Product Management,Communication","Media,Management",Marketing Manager,"1 projects, 0 internships",Product Manager
Class 12,PCM Stream,"Writing,Communication,Python,Physics Lab","Engineering,Government Jobs,Defence",Research Scientist,"0 projects, 1 internships",Civil Servant (IAS/IPS)
Class 12,PCM Stream,"Physics Lab,Mathematics,Communication,Python,Chemistry Lab",Research,Civil Servant (IAS/IPS),"2 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Commerce/B.Com,"Economics,Time Management,Data Analytics,SQL","Government Jobs,Finance",Chartered Accountant,"2 projects, 0 internships",Chartered Accountant
Undergraduate,Commerce/B.Com,"Communication,Problem Solving,Scrum,Time Management,SQL,Economics","Government Jobs,Business",Investment Banker,"1 projects, 0 internships",Chartered Accountant
Class 12,PCM Stream,"Writing,Python,Communication,Mathematics,Problem Solving,Physics Lab","Engineering,Government Jobs,Defence",Research Scientist,"0 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Commerce/B.Com,"Economics,SQL,Scrum",Government Jobs,Unknown Career,"1 projects, 0 internships",Chartered Accountant
Undergraduate,Business/BBA,"Communication,Leadership,SEO,Business Strategy,Sales,Project Management","Business,Management,Media",Management Consultant,"0 projects, 0 internships",Product Manager
Undergraduate,Electronics & Communication,"Docker,Data Structures,Physics Lab,Figma,AWS,Python",Technology,VLSI Design Engineer,"2 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Electronics & Communication,"Data Structures,Python,Physics Lab",Engineering,Embedded Systems Engineer,"0 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Computer Science,"C++,Algorithms,CSS,Data Structures","AI/ML,Technology,Business",Data Scientist,"1 projects, 0 internships",Software Engineer
Undergraduate,Commerce/B.Com,"Communication,Problem Solving,Economics","Finance,Business,Government Jobs",Unknown Career,"2 projects, 1 internships",Chartered Accountant
Undergraduate,Commerce/B.Com,"SQL,Problem Solving,Taxation","Business,Government Jobs",Investment Banker,"1 projects, 0 internships",Chartered Accountant
Undergraduate,Computer Science,"CSS,Java,C++","AI/ML,Business",Software Engineer,"0 projects, 1 internships",Software Engineer
Undergraduate,Commerce/B.Com,"Economics,Financial Accounting,SQL,Communication,Taxation,Scrum","Finance,Government Jobs,Business",Financial Consultant,"2 projects, 0 internships",Chartered Accountant
Undergraduate,Commerce/B.Com,"Data Analytics,Economics,Problem Solving,Taxation,SQL,Communication","Business,Finance,Government Jobs",Financial Consultant,"1 projects, 0 internships",Chartered Accountant
Undergraduate,Commerce/B.Com,"Data Analytics,Scrum,Financial Accounting,Problem Solving,Communication","Finance,Business,Government Jobs",Chartered Accountant,"0 projects, 1 internships",Chartered Accountant
Undergraduate,Electronics & Communication,"AWS,Python,Docker,Kubernetes,Linear Algebra,Physics Lab",Research,Network Security Engineer,"2 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Computer Science,"Java,Python,SQL,REST APIs,HTML,JavaScript","AI/ML,Business,Technology",Cloud Architect,"2 projects, 1 internships",Software Engineer
Undergraduate,Electronics & Communication,"Kubernetes,Python,Figma","Engineering,Research",Embedded Systems Engineer,"2 projects, 1 internships",Embedded Systems Engineer
Undergraduate,Electronics & Communication,"Physics Lab,AWS,C++,Mathematics,Docker",Research,Network Security Engineer,"2 projects, 1 internships",Embedded Systems Engineer
Undergraduate,Business/BBA,"Marketing,SEO,Business Strategy,Product Management,Public Speaking,Project Management",Media,Brand Strategist,"2 projects, 1 internships",Product Manager
Undergraduate,Science/B.Sc,"Python,Pandas,Communication,SQL,Data Analytics","Finance,Research",Financial Risk Analyst,"2 projects, 0 internships",Data Analyst
Class 12,PCM Stream,"Mathematics,Communication,Chemistry Lab,Problem Solving","Government Jobs,Research",Research Scientist,"0 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Law/LLB,"Leadership,Public Speaking,Constitutional Law,Negotiation,Communication,Law","Government Jobs,Law,Social Impact",Criminal Defense Lawyer,"1 projects, 0 internships",Corporate Lawyer
Undergraduate,Law/LLB,"Technical Writing,Negotiation,Communication","Law,Social Impact,Government Jobs",Criminal Defense Lawyer,"0 projects, 0 internships",Corporate Lawyer
Undergraduate,Electronics & Communication,"Python,Docker,Kubernetes","Engineering,Technology,Research",Network Security Engineer,"1 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Law/LLB,"Public Speaking,Communication,Law,Leadership,Constitutional Law,Technical Writing",Government Jobs,Criminal Defense Lawyer,"2 projects, 0 internships",Corporate Lawyer
Undergraduate,Law/LLB,"Constitutional Law,Negotiation,Law","Law,Government Jobs,Social Impact",Criminal Defense Lawyer,"0 projects, 0 internships",Corporate Lawyer
Undergraduate,Computer Science,"SQL,HTML,REST APIs",Business,DevOps Engineer,"1 projects, 0 internships",Software Engineer
Class 12,PCM Stream,"Physics Lab,Chemistry Lab,Mathematics,Problem Solving","Defence,Government Jobs,Research",Research Scientist,"0 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Science/B.Sc,"Data Visualization,Data Analytics,Pandas,Statistics,SQL,NumPy","Finance,Technology,Business",Data Scientist,"1 projects, 1 internships",Data Analyst
Undergraduate,Computer Science,"Data Structures,React,Algorithms,HTML,Node.js,REST APIs","Business,Technology,AI/ML",AI/ML Engineer,"1 projects, 1 internships",Software Engineer
Undergraduate,Business/BBA,"Sales,Marketing,Communication,Project Management","Entrepreneurship,Management",Product Manager,"1 projects, 0 internships",Product Manager
Undergraduate,Law/LLB,"Legal Writing,Technical Writing,Communication","Government Jobs,Social Impact",Public Prosecutor,"1 projects, 1 internships",Corporate Lawyer
Class 12,PCM Stream,"Communication,Chemistry Lab,Mathematics,Problem Solving","Engineering,Defence",Civil Servant (IAS/IPS),"2 projects, 1 internships",Civil Servant (IAS/IPS)
Class 12,PCM Stream,"Problem Solving,Writing,Python,Physics Lab,Mathematics,Communication",Research,High School Physics Teacher,"2 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Business/BBA,"SEO,Leadership,Product Management,Business Strategy,Public Speaking","Entrepreneurship,Business,Management",Marketing Manager,"1 projects, 1 internships",Product Manager
Undergraduate,Computer Science,"Python,SQL,JavaScript,Node.js,Data Structures","Business,AI/ML",Cloud Architect,"1 projects, 0 internships",Software Engineer
Undergraduate,Law/LLB,"Communication,Constitutional Law,Legal Writing","Government Jobs,Social Impact",Public Prosecutor,"1 projects, 0 internships",Corporate Lawyer
Undergraduate,Electronics & Communication,"Mathematics,Kubernetes,Physics Lab,Python,C++","Engineering,Technology",VLSI Design Engineer,"2 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Business/BBA,"Sales,Public Speaking,Product Management",Business,Product Manager,"2 projects, 0 internships",Product Manager
Undergraduate,Science/B.Sc,"Mathematics,Communication,Pandas","Finance,Business,Research",Financial Risk Analyst,"2 projects, 0 internships",Data Analyst
Undergraduate,Law/LLB,"Leadership,Public Speaking,Negotiation,Law,Technical Writing,Communication","Social Impact,Government Jobs,Law",Corporate Lawyer,"2 projects, 0 internships",Corporate Lawyer
Undergraduate,Commerce/B.Com,"Economics,Financial Accounting,Taxation",Finance,Financial Consultant,"1 projects, 0 internships",Chartered Accountant
Undergraduate,Electronics & Communication,"Data Structures,Mathematics,Figma","Technology,Research",VLSI Design Engineer,"0 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Law/LLB,"Negotiation,Technical Writing,Constitutional Law,Leadership","Social Impact,Law,Government Jobs",Public Prosecutor,"0 projects, 1 internships",Corporate Lawyer
Undergraduate,Law/LLB,"Law,Legal Writing,Technical Writing","Government Jobs,Social Impact",Patent Attorney,"1 projects, 1 internships",Corporate Lawyer
Undergraduate,Commerce/B.Com,"Time Management,Taxation,Financial Accounting,Economics","Finance,Government Jobs",Investment Banker,"1 projects, 1 internships",Chartered Accountant
Undergraduate,Computer Science,"CSS,Git,JavaScript,Data Structures","AI/ML,Technology",Cloud Architect,"1 projects, 0 internships",Software Engineer
Undergraduate,Science/B.Sc,"Communication,Python,Data Analytics","Finance,Business",Actuarial Analyst,"0 projects, 0 internships",Data Analyst
Undergraduate,Commerce/B.Com,"Economics,SQL,Scrum","Business,Government Jobs,Finance",Financial Consultant,"2 projects, 1 internships",Chartered Accountant
Undergraduate,Science/B.Sc,"Data Visualization,SQL,Mathematics,Communication,Python,Statistics","Technology,Finance",Financial Risk Analyst,"1 projects, 1 internships",Data Analyst
Class 12,PCM Stream,"Python,Mathematics,Physics Lab,Communication,Writing,Problem Solving","Government Jobs,Defence",Civil Servant (IAS/IPS),"1 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Business/BBA,"Communication,Project Management,Business Strategy,Public Speaking","Media,Entrepreneurship",Brand Strategist,"1 projects, 0 internships",Product Manager
Undergraduate,Science/B.Sc,"SQL,Pandas,Statistics","Finance,Business,Research",Actuarial Analyst,"0 projects, 0 internships",Data Analyst
Undergraduate,Law/LLB,"Technical Writing,Communication,Public Speaking,Legal Writing,Law","Social Impact,Law,Government Jobs",Criminal Defense Lawyer,"2 projects, 0 internships",Corporate Lawyer
