id,name,qualification,experience,specialization,languages,rating,session_price,availability,is_verified
1,Dr. Ramesh Sharma A,"Ph.D in Education, Ex-UPSC Board Member",8 years,Engineering & Tech Careers,"English, Hindi, Marathi",5.0,1000,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",False
2,Anjali Mehta B,"LL.M, Career Counsellor",19 years,Engineering & Tech Careers,"English, Hindi",4.2,2000,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",True
3,Dr. Ramesh Sharma C,"M.Tech, Ph.D (IIT Bombay)",20 years,Competitive Exams Prep,"English, Hindi, Gujarati",4.6,2000,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",True
4,Meera Deshmukh D,"M.Tech, Ph.D (IIT Bombay)",13 years,Management & Business Careers,"English, Hindi, Gujarati",4.9,800,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",False
5,Dr. Amit Patel E,"M.Tech, Ph.D (IIT Bombay)",13 years,Design & Creative Fields,"English, Hindi, Marathi",4.4,1000,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",True
6,Priya Nair F,"M.Tech, Ph.D (IIT Bombay)",11 years,Competitive Exams Prep,"English, Hindi",4.4,1500,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",False
7,Prof. Sunita Krishnan G,"M.Des (NID), UX Specialist",16 years,Medical & Pharmacy Careers,"English, Telugu",4.7,800,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",True
8,Rajesh Iyer H,"Ph.D in Education, Ex-UPSC Board Member",16 years,Competitive Exams Prep,"English, Tamil",4.2,500,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",True
9,Prof. Sunita Krishnan I,"M.A. Psychology, Counsellor Cert",11 years,Civil Services & Govt Jobs,"English, Telugu",4.4,500,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",False
10,Rajesh Iyer J,"LL.M, Career Counsellor",13 years,Higher Studies Abroad,"English, Tamil",4.9,500,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",False
11,Prof. Sunita Krishnan K,"LL.M, Career Counsellor",13 years,Civil Services & Govt Jobs,"English, Hindi, Marathi",4.8,800,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",True
12,Dr. Amit Patel L,"M.A. Psychology, Counsellor Cert",12 years,Management & Business Careers,"English, Tamil",4.5,1000,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",True
13,Srinivas Rao M,"M.A. Psychology, Counsellor Cert",22 years,Law & Humanities,"English, Hindi",4.3,1000,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",False
14,Sanjay Gupta N,MBA (IIM Ahmedabad),25 years,Higher Studies Abroad,"English, Hindi",4.6,1200,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",True
15,Anjali Mehta O,"Ph.D in Education, Ex-UPSC Board Member",10 years,Management & Business Careers,"English, Hindi, Gujarati",4.9,500,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",True
16,Dr. Amit Patel P,"M.Tech, Ph.D (IIT Bombay)",14 years,Engineering & Tech Careers,"English, Telugu",4.8,1000,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",True
17,Dr. Amit Patel Q,"M.Des (NID), UX Specialist",9 years,Civil Services & Govt Jobs,"English, Hindi, Marathi",4.5,500,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",True
18,Dr. Ramesh Sharma R,"Ph.D in Education, Ex-UPSC Board Member",19 years,Competitive Exams Prep,"English, Telugu",4.9,1500,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",False
19,Anjali Mehta S,"Ph.D in Education, Ex-UPSC Board Member",14 years,Engineering & Tech Careers,"English, Hindi, Bengali",4.7,1000,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",True
20,Vikram Singh T,MBA (IIM Ahmedabad),21 years,Engineering & Tech Careers,"English, Telugu",4.4,1200,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",True
21,Srinivas Rao U,"LL.M, Career Counsellor",25 years,Law & Humanities,"English, Hindi, Bengali",4.9,1200,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",False
22,Srinivas Rao V,"LL.M, Career Counsellor",7 years,Law & Humanities,"English, Hindi, Bengali",4.7,800,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",False
23,Prof. Sunita Krishnan W,MBA (IIM Ahmedabad),25 years,Higher Studies Abroad,"English, Tamil",4.8,800,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",True
24,Rajesh Iyer X,"LL.M, Career Counsellor",18 years,Design & Creative Fields,"English, Tamil",4.3,500,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",True
25,Prof. Sunita Krishnan Y,"Ph.D in Education, Ex-UPSC Board Member",11 years,Management & Business Careers,"English, Hindi, Bengali",4.6,500,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",False
26,Srinivas Rao Z,MBA (IIM Ahmedabad),25 years,Higher Studies Abroad,"English, Hindi",4.8,2000,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",True
27,Priya Nair A,MBA (IIM Ahmedabad),24 years,Management & Business Careers,"English, Hindi, Bengali",5.0,500,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",True
28,Sanjay Gupta B,"M.A. Psychology, Counsellor Cert",22 years,Engineering & Tech Careers,"English, Telugu",4.4,1000,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",True
29,Rajesh Iyer C,MBA (IIM Ahmedabad),20 years,Law & Humanities,"English, Hindi, Gujarati",4.8,1500,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",True
30,Meera Deshmukh D,"M.A. Psychology, Counsellor Cert",21 years,Engineering & Tech Careers,"English, Tamil",4.4,1200,"Mon-Fri (4PM-8PM), Sat (10AM-4PM)",True
