id,title,organization,category,description,education,min_year,max_year,branch,skills,location,mode,deadline,prize,stipend,fee,url,source,last_verified,status
1,Smart India Hackathon 2026,DAAD,Hackathons,"Detailed description for Smart India Hackathon 2026. National level digital product building competition solving government problems. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Undergraduate,2,4,Computer Science,React,Hyderabad,OFFLINE,2026-08-06,"Rs. 1,00,000","Rs. 1,00,000",0,https://sih.gov.in,https://sih.gov.in,2026-08-27,EXPIRED
2,Google Summer of Code (GSoC) - Season 1,IEEE,Internships,"Detailed description for Google Summer of Code (GSoC) - Season 1. Global program matching students with open source organizations. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Diploma,1,4,Business/BBA,"JavaScript,C++,Git",Delhi,HYBRID,2026-08-03,N/A,Stipend ($1500 - $3000),0,https://summerofcode.withgoogle.com,https://summerofcode.withgoogle.com,2026-08-29,EXPIRED
3,ISRO Fellowship Program - Season 1,Microsoft,Fellowships,"Detailed description for ISRO Fellowship Program - Season 1. Research fellowship for postgraduate students in aerospace, remote sensing, and computing. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Class 12,2,5,Law/LLB,"Research Methodology,Python,Academic Writing",Hyderabad,ONLINE,2026-07-20,"Rs. 35,000 / month","Rs. 35,000 / month",0,https://isro.gov.in,https://isro.gov.in,2026-08-26,EXPIRED
4,Kaggle ML Competition: Indian Housing 2026,Startup India,Competitions,"Detailed description for Kaggle ML Competition: Indian Housing 2026. Solve machine learning regression challenges on public Indian dataset. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Class 10,1,5,Electrical Engineering,"Statistics,Python,Machine Learning",Bangalore,HYBRID,2026-09-27,"Prizes up to $10,000",N/A,0,https://kaggle.com,https://kaggle.com,2026-08-26,ACTIVE
5,Microsoft Learn Student Ambassador - Season 1,TCS,Ambassador Programs,"Detailed description for Microsoft Learn Student Ambassador - Season 1. Host workshops and build technical communities in your local college. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Graduate,2,5,Law/LLB,"Leadership,Public Speaking,Communication",Bangalore,OFFLINE,2026-11-24,N/A,N/A,0,https://mvp.microsoft.com,https://mvp.microsoft.com,2026-08-26,ACTIVE
6,AWS Cloud Practitioner Certification Scholarship - Season 1,Google,Certifications,"Detailed description for AWS Cloud Practitioner Certification Scholarship - Season 1. Voucher scholarship providing 100% exam fee discount for students. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Class 12,2,4,Business/BBA,AWS,Hyderabad,OFFLINE,2026-12-02,N/A,N/A,0,https://aws.amazon.com,https://aws.amazon.com,2026-08-28,ACTIVE
7,NITI Aayog Internship Scheme 2026,Microsoft,Internships,"Detailed description for NITI Aayog Internship Scheme 2026. Work on public policy research and analysis under central government experts. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Class 10,1,3,Science/B.Sc,"Data Analytics,Communication",Hyderabad,OFFLINE,2026-10-12,N/A,N/A,0,https://niti.gov.in,https://niti.gov.in,2026-08-28,ACTIVE
8,UNESCO Youth Volunteering Fellowship - Season 1,Amazon,Volunteering,"Detailed description for UNESCO Youth Volunteering Fellowship - Season 1. Volunteer for community educational and digital literacy workshops. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Undergraduate,2,4,Commerce/B.Com,"Social Work,Communication",Chennai,OFFLINE,2026-07-20,N/A,N/A,0,https://unesco.org,https://unesco.org,2026-08-28,EXPIRED
9,Study Abroad in Germany: DAAD Scholarship - Season 1,Microsoft,Study Abroad,"Detailed description for Study Abroad in Germany: DAAD Scholarship - Season 1. Postgraduate full-degree funding for engineering and science graduates. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Class 12,1,4,Law/LLB,"Research Methodology,German Language",Chennai,ONLINE,2026-12-12,N/A,N/A,0,https://daad.de,https://daad.de,2026-08-28,ACTIVE
10,Startup India Seed Fund Challenge 2026,Smart India Hackathon,Entrepreneurship,"Detailed description for Startup India Seed Fund Challenge 2026. Submit startup pitch to receive incubator grants and mentorship. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Graduate,2,3,Commerce/B.Com,"Business Strategy,Public Speaking,Financial Accounting",Pune,OFFLINE,2026-10-24,Up to Rs. 20 Lakhs funding,Up to Rs. 20 Lakhs funding,0,https://startupindia.gov.in,https://startupindia.gov.in,2026-08-29,ACTIVE
11,Adobe India Women in Tech Internship - Season 1,USIEF,Internships,"Detailed description for Adobe India Women in Tech Internship - Season 1. Summer internship for female engineering students in product development. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Undergraduate,1,4,Electrical Engineering,"Data Structures,C++,Algorithms",Delhi,HYBRID,2026-12-10,"Stipend Rs. 1,00,000 / month","Stipend Rs. 1,00,000 / month",0,https://adobe.com,https://adobe.com,2026-08-28,ACTIVE
12,TCS CodeVita Coding Competition - Season 1,Ministry of Education,Competitions,"Detailed description for TCS CodeVita Coding Competition - Season 1. Global coding contest testing algorithmic problem-solving speed. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Undergraduate,2,4,Electrical Engineering,Algorithms,Remote,ONLINE,2026-09-17,"Prizes up to $20,000 + Job interview",N/A,0,https://tcscodevita.com,https://tcscodevita.com,2026-08-27,ACTIVE
13,UN Sustainable Development Goals Workshop 2026,Startup India,Workshops,"Detailed description for UN Sustainable Development Goals Workshop 2026. Five-day interactive virtual seminar on local social impact strategies. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Diploma,2,5,Commerce/B.Com,Communication,Remote,OFFLINE,2026-07-27,N/A,N/A,0,https://sdg.un.org,https://sdg.un.org,2026-08-27,EXPIRED
14,International Conference on AI & ML (ICML India) - Season 1,IIT Madras,Conferences,"Detailed description for International Conference on AI & ML (ICML India) - Season 1. Global research conference featuring top papers in AI/ML advancements. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Undergraduate,2,5,Biotechnology,"Deep Learning,Machine Learning,Research Methodology",Chennai,OFFLINE,2026-10-19,N/A,N/A,"Rs. 2,000",https://icml.cc,https://icml.cc,2026-08-25,ACTIVE
15,DRDO Young Scientist Lab Project - Season 1,USIEF,Research,"Detailed description for DRDO Young Scientist Lab Project - Season 1. Participate in defense robotics and computer vision project implementation. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Class 10,2,4,Law/LLB,"Python,Machine Learning",Kolkata,OFFLINE,2026-10-31,"Monthly stipend Rs. 31,000","Monthly stipend Rs. 31,000",0,https://drdo.gov.in,https://drdo.gov.in,2026-08-27,ACTIVE
16,GitHub Campus Expert Program 2026,Udemy,Ambassador Programs,"Detailed description for GitHub Campus Expert Program 2026. Learn public speaking and tech organization skills supported by GitHub. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Diploma,2,4,Science/B.Sc,"Leadership,Communication,Git",Remote,ONLINE,2026-07-15,N/A,N/A,0,https://education.github.com,https://education.github.com,2026-08-29,EXPIRED
17,G20 Youth Summit Innovation Challenge - Season 1,NITI Aayog,Innovation Challenges,"Detailed description for G20 Youth Summit Innovation Challenge - Season 1. Propose tech blueprints addressing renewable energy distribution. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Class 12,1,4,Arts/Humanities,"Business Strategy,Problem Solving",Hyderabad,ONLINE,2026-11-02,"Certificate + Cash prize Rs. 50,000","Certificate + Cash prize Rs. 50,000",0,https://g20.org,https://g20.org,2026-08-25,ACTIVE
18,Stanford University Knight-Hennessy Scholars - Season 1,USIEF,Study Abroad,"Detailed description for Stanford University Knight-Hennessy Scholars - Season 1. Full funding for graduate degrees at Stanford University in any field. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Diploma,2,5,Electrical Engineering,"Academic Writing,Research Methodology",Pune,OFFLINE,2026-07-17,N/A,N/A,0,https://knight-hennessy.stanford.edu,https://knight-hennessy.stanford.edu,2026-08-25,EXPIRED
19,L&T Build India Scholarship 2026,IIT Bombay,Scholarships,"Detailed description for L&T Build India Scholarship 2026. Sponsorship for M.Tech in Construction Technology at IIT Madras/Delhi. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Class 12,1,4,Electronics & Communication,Physics,Pune,ONLINE,2026-12-17,"Tuition sponsored + Stipend Rs. 15,000","Tuition sponsored + Stipend Rs. 15,000",0,https://lntecc.com,https://lntecc.com,2026-08-27,ACTIVE
20,National Talent Search Examination (NTSE) - Season 1,DAAD,Exams,"Detailed description for National Talent Search Examination (NTSE) - Season 1. National scholarship exam identifying academic talent in high school. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Diploma,2,4,Electrical Engineering,"Problem Solving,Mathematics",Remote,OFFLINE,2026-08-02,N/A,N/A,0,https://ncert.nic.in,https://ncert.nic.in,2026-08-29,EXPIRED
21,Smart India Hackathon - Season 2,Major League Hacking,Hackathons,"Detailed description for Smart India Hackathon - Season 2. National level digital product building competition solving government problems. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Postgraduate,1,4,Mechanical Engineering,"SQL,React,Python",Kolkata,OFFLINE,2026-11-06,"Rs. 1,00,000","Rs. 1,00,000",0,https://sih.gov.in,https://sih.gov.in,2026-08-26,ACTIVE
22,Google Summer of Code (GSoC) 2026,Smart India Hackathon,Internships,"Detailed description for Google Summer of Code (GSoC) 2026. Global program matching students with open source organizations. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Class 10,2,4,Biotechnology,"JavaScript,Git",Pune,OFFLINE,2026-08-07,N/A,Stipend ($1500 - $3000),0,https://summerofcode.withgoogle.com,https://summerofcode.withgoogle.com,2026-08-28,EXPIRED
23,ISRO Fellowship Program - Season 2,IEEE,Fellowships,"Detailed description for ISRO Fellowship Program - Season 2. Research fellowship for postgraduate students in aerospace, remote sensing, and computing. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Graduate,2,5,Commerce/B.Com,"Python,Academic Writing",Pune,HYBRID,2026-11-11,"Rs. 35,000 / month","Rs. 35,000 / month",0,https://isro.gov.in,https://isro.gov.in,2026-08-27,ACTIVE
24,Kaggle ML Competition: Indian Housing - Season 2,Microsoft,Competitions,"Detailed description for Kaggle ML Competition: Indian Housing - Season 2. Solve machine learning regression challenges on public Indian dataset. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Class 12,1,3,All Branches,Machine Learning,Chennai,ONLINE,2026-11-21,"Prizes up to $10,000",N/A,0,https://kaggle.com,https://kaggle.com,2026-08-28,ACTIVE
25,Microsoft Learn Student Ambassador 2026,USIEF,Ambassador Programs,"Detailed description for Microsoft Learn Student Ambassador 2026. Host workshops and build technical communities in your local college. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Undergraduate,1,3,Civil Engineering,Leadership,Remote,HYBRID,2026-07-12,N/A,N/A,0,https://mvp.microsoft.com,https://mvp.microsoft.com,2026-08-29,EXPIRED
26,AWS Cloud Practitioner Certification Scholarship - Season 2,UNESCO,Certifications,"Detailed description for AWS Cloud Practitioner Certification Scholarship - Season 2. Voucher scholarship providing 100% exam fee discount for students. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Class 12,1,4,Electrical Engineering,"Kubernetes,AWS",Delhi,OFFLINE,2026-12-22,N/A,N/A,0,https://aws.amazon.com,https://aws.amazon.com,2026-08-29,ACTIVE
27,NITI Aayog Internship Scheme - Season 2,Microsoft,Internships,"Detailed description for NITI Aayog Internship Scheme - Season 2. Work on public policy research and analysis under central government experts. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Postgraduate,2,3,Electronics & Communication,"Communication,Data Analytics",Remote,HYBRID,2026-08-18,N/A,N/A,0,https://niti.gov.in,https://niti.gov.in,2026-08-28,EXPIRED
28,UNESCO Youth Volunteering Fellowship 2026,CERN,Volunteering,"Detailed description for UNESCO Youth Volunteering Fellowship 2026. Volunteer for community educational and digital literacy workshops. This provides a perfect match for students looking to excel in their career paths, build hands-on skills, and gain industry recognition.",Class 12,2,3,Science/B.Sc,"Leadership,Communication,Social Work",Remote,OFFLINE,2026-08-04,N/A,N/A,0,https://unesco.org,https://unesco.org,2026-08-28,EXPIRED
