id,name,provider,eligibility,education,category,amount,deadline,official_url
1,NSP (National Scholarship Portal) Central Sector Scheme - 2026,Government of India,Class 12 / College Students,Class 12 / Undergrad,"Government Jobs,Social Impact","Up to Rs. 20,000 / year",31-10-2026,https://scholarships.gov.in
2,KVPY (Kishore Vaigyanik Protsahan Yojana) - 2026,"DST, Govt of India","Class 11, Class 12, B.Sc 1st Year",Class 11/12/B.Sc,"Research,Science","Up to Rs. 7,000 / month + Contingency",30-10-2026,http://www.kvpy.iisc.ernet.in
3,HDFC Bank Badhte Kadam Scholarship - 2026,HDFC Bank,Class 11 to Undergrad,Class 11 to Undergrad,Social Impact,"Up to Rs. 1,00,000 / year",30-09-2026,https://www.buddy4study.com
4,Reliance Foundation Undergraduate Scholarships - 2026,Reliance Foundation,First Year UG Students,Undergrad,"Technology,Engineering,Business","Up to Rs. 2,00,000",15-10-2026,https://www.reliancefoundation.org
5,Tata Scholarship at Cornell University - 2026,Tata Trusts,Undergraduate Admissions at Cornell,Undergrad (Study Abroad),"Technology,Engineering,Business",Full Tuition Support,15-03-2027,https://admissions.cornell.edu
6,Aditya Birla Capital Scholarship - 2026,Aditya Birla Capital Foundation,Class 9 to Undergrad,Class 9 to Undergrad,Social Impact,"Up to Rs. 60,000",30-09-2026,https://www.adityabirlacapital.com
7,L'Oréal India For Young Women In Science Scholarship - 2026,L'Oréal India,Class 12 Girls (Science),Class 12 (Girls),"Science,Research","Rs. 2,50,000 for graduation",15-10-2026,https://www.foryoungwomeninscience.co.in
8,Dr. Ambedkar Post Matric Scholarship for EBC Students - 2026,Ministry of Social Justice,EBC Postgraduate/Undergrad,Undergrad/Postgrad,"Government Jobs,Social Impact",Maintenance allowance and fees reimbursed,30-11-2026,https://scholarships.gov.in
9,Sitaram Jindal Foundation Scholarship - 2026,Sitaram Jindal Foundation,"Class 11 to Postgrad, ITI, Diploma",Class 11 to Postgrad,Social Impact,"Up to Rs. 3,200 / month",31-12-2026,https://sitaramjindalfoundation.org
10,INSPIRE Scholarship (SHE) - 2026,"DST, Govt of India",Class 12 Top 1% students in Board,B.Sc/Int. M.Sc,"Research,Science","Rs. 80,000 / year",31-12-2026,https://online-inspire.gov.in
11,AICTE Pragati Scholarship for Girl Students - 2026,AICTE,First Year Degree/Diploma Girls,B.Tech/Diploma,"Engineering,Technology","Rs. 50,000 / year",30-11-2026,https://www.aicte-india.org
12,Adobe India Women in Technology Scholarship - 2026,Adobe India,Undergraduate CSE/ECE Girls,B.Tech/BE (CSE/ECE),"Technology,AI/ML",Tuition fees + Intern interview,15-11-2026,https://www.adobe.com
13,K.C. Mahindra Scholarships for Post-Graduate Studies Abroad - 2026,K.C. Mahindra Education Trust,Graduates pursuing PG Abroad,Postgrad (Study Abroad),"Engineering,Business,Science","Up to Rs. 8,00,000 interest-free loan",31-03-2027,https://www.kcmet.org
14,LIC Golden Jubilee Scholarship - 2026,LIC of India,Class 12 / Diploma (EWS),Undergrad/Diploma,Social Impact,"Rs. 20,000 / year",24-12-2026,https://licindia.in
15,Prime Minister's Scholarship Scheme (PMSS) - 2026,Ministry of Defence,Wards of Ex-servicemen UG/PG,Undergrad/Postgrad,"Defence,Government Jobs","Up to Rs. 3,000 / month",30-11-2026,https://desw.gov.in
16,Olay Scholarship for Women in STEM - 2026,Olay India / Buddy4Study,Girls enrolled in STEM Degrees,Undergrad (STEM),"Science,Technology,Engineering","Rs. 1,00,000",15-12-2026,https://www.buddy4study.com
17,British Council Great Scholarships - 2026,British Council,Undergraduates going to UK,Postgrad (Study Abroad),All Branches,"GBP 10,000 tuition fee waiver",30-04-2027,https://study-uk.britishcouncil.org
18,DAAD Scholarships for PG Studies in Germany - 2026,DAAD Germany,Bachelor Graduates in India,Postgrad (Study Abroad),"Science,Engineering",Full stipend + health insurance,15-10-2026,https://www.daad.in
19,Fulbright-Nehru Master's Fellowships - 2026,USIEF,Bachelor Graduates with 3y work exp,Postgrad (Study Abroad),All Branches,"J-1 visa support, tuition, health insurance",15-05-2026,https://www.usief.org.in
20,Fair & Lovely Career Foundation Scholarship - 2026,Hindustan Unilever,Class 12 / College Girls,Class 12 to Postgrad,Social Impact,"Up to Rs. 50,000",30-10-2026,https://www.buddy4study.com
21,NSP (National Scholarship Portal) Central Sector Scheme - 2027,Government of India,Class 12 / College Students,Class 12 / Undergrad,"Government Jobs,Social Impact","Up to Rs. 20,000 / year",31-10-2026,https://scholarships.gov.in
22,KVPY (Kishore Vaigyanik Protsahan Yojana) - 2027,"DST, Govt of India","Class 11, Class 12, B.Sc 1st Year",Class 11/12/B.Sc,"Research,Science","Up to Rs. 7,000 / month + Contingency",30-10-2026,http://www.kvpy.iisc.ernet.in
23,HDFC Bank Badhte Kadam Scholarship - 2027,HDFC Bank,Class 11 to Undergrad,Class 11 to Undergrad,Social Impact,"Up to Rs. 1,00,000 / year",30-09-2026,https://www.buddy4study.com
24,Reliance Foundation Undergraduate Scholarships - 2027,Reliance Foundation,First Year UG Students,Undergrad,"Technology,Engineering,Business","Up to Rs. 2,00,000",15-10-2026,https://www.reliancefoundation.org
25,Tata Scholarship at Cornell University - 2027,Tata Trusts,Undergraduate Admissions at Cornell,Undergrad (Study Abroad),"Technology,Engineering,Business",Full Tuition Support,15-03-2027,https://admissions.cornell.edu
26,Aditya Birla Capital Scholarship - 2027,Aditya Birla Capital Foundation,Class 9 to Undergrad,Class 9 to Undergrad,Social Impact,"Up to Rs. 60,000",30-09-2026,https://www.adityabirlacapital.com
27,L'Oréal India For Young Women In Science Scholarship - 2027,L'Oréal India,Class 12 Girls (Science),Class 12 (Girls),"Science,Research","Rs. 2,50,000 for graduation",15-10-2026,https://www.foryoungwomeninscience.co.in
28,Dr. Ambedkar Post Matric Scholarship for EBC Students - 2027,Ministry of Social Justice,EBC Postgraduate/Undergrad,Undergrad/Postgrad,"Government Jobs,Social Impact",Maintenance allowance and fees reimbursed,30-11-2026,https://scholarships.gov.in
29,Sitaram Jindal Foundation Scholarship - 2027,Sitaram Jindal Foundation,"Class 11 to Postgrad, ITI, Diploma",Class 11 to Postgrad,Social Impact,"Up to Rs. 3,200 / month",31-12-2026,https://sitaramjindalfoundation.org
30,INSPIRE Scholarship (SHE) - 2027,"DST, Govt of India",Class 12 Top 1% students in Board,B.Sc/Int. M.Sc,"Research,Science","Rs. 80,000 / year",31-12-2026,https://online-inspire.gov.in
31,AICTE Pragati Scholarship for Girl Students - 2027,AICTE,First Year Degree/Diploma Girls,B.Tech/Diploma,"Engineering,Technology","Rs. 50,000 / year",30-11-2026,https://www.aicte-india.org
32,Adobe India Women in Technology Scholarship - 2027,Adobe India,Undergraduate CSE/ECE Girls,B.Tech/BE (CSE/ECE),"Technology,AI/ML",Tuition fees + Intern interview,15-11-2026,https://www.adobe.com
33,K.C. Mahindra Scholarships for Post-Graduate Studies Abroad - 2027,K.C. Mahindra Education Trust,Graduates pursuing PG Abroad,Postgrad (Study Abroad),"Engineering,Business,Science","Up to Rs. 8,00,000 interest-free loan",31-03-2027,https://www.kcmet.org
34,LIC Golden Jubilee Scholarship - 2027,LIC of India,Class 12 / Diploma (EWS),Undergrad/Diploma,Social Impact,"Rs. 20,000 / year",24-12-2026,https://licindia.in
35,Prime Minister's Scholarship Scheme (PMSS) - 2027,Ministry of Defence,Wards of Ex-servicemen UG/PG,Undergrad/Postgrad,"Defence,Government Jobs","Up to Rs. 3,000 / month",30-11-2026,https://desw.gov.in
36,Olay Scholarship for Women in STEM - 2027,Olay India / Buddy4Study,Girls enrolled in STEM Degrees,Undergrad (STEM),"Science,Technology,Engineering","Rs. 1,00,000",15-12-2026,https://www.buddy4study.com
37,British Council Great Scholarships - 2027,British Council,Undergraduates going to UK,Postgrad (Study Abroad),All Branches,"GBP 10,000 tuition fee waiver",30-04-2027,https://study-uk.britishcouncil.org
38,DAAD Scholarships for PG Studies in Germany - 2027,DAAD Germany,Bachelor Graduates in India,Postgrad (Study Abroad),"Science,Engineering",Full stipend + health insurance,15-10-2026,https://www.daad.in
39,Fulbright-Nehru Master's Fellowships - 2027,USIEF,Bachelor Graduates with 3y work exp,Postgrad (Study Abroad),All Branches,"J-1 visa support, tuition, health insurance",15-05-2026,https://www.usief.org.in
40,Fair & Lovely Career Foundation Scholarship - 2027,Hindustan Unilever,Class 12 / College Girls,Class 12 to Postgrad,Social Impact,"Up to Rs. 50,000",30-10-2026,https://www.buddy4study.com
41,NSP (National Scholarship Portal) Central Sector Scheme - 2028,Government of India,Class 12 / College Students,Class 12 / Undergrad,"Government Jobs,Social Impact","Up to Rs. 20,000 / year",31-10-2026,https://scholarships.gov.in
42,KVPY (Kishore Vaigyanik Protsahan Yojana) - 2028,"DST, Govt of India","Class 11, Class 12, B.Sc 1st Year",Class 11/12/B.Sc,"Research,Science","Up to Rs. 7,000 / month + Contingency",30-10-2026,http://www.kvpy.iisc.ernet.in
43,HDFC Bank Badhte Kadam Scholarship - 2028,HDFC Bank,Class 11 to Undergrad,Class 11 to Undergrad,Social Impact,"Up to Rs. 1,00,000 / year",30-09-2026,https://www.buddy4study.com
44,Reliance Foundation Undergraduate Scholarships - 2028,Reliance Foundation,First Year UG Students,Undergrad,"Technology,Engineering,Business","Up to Rs. 2,00,000",15-10-2026,https://www.reliancefoundation.org
45,Tata Scholarship at Cornell University - 2028,Tata Trusts,Undergraduate Admissions at Cornell,Undergrad (Study Abroad),"Technology,Engineering,Business",Full Tuition Support,15-03-2027,https://admissions.cornell.edu
46,Aditya Birla Capital Scholarship - 2028,Aditya Birla Capital Foundation,Class 9 to Undergrad,Class 9 to Undergrad,Social Impact,"Up to Rs. 60,000",30-09-2026,https://www.adityabirlacapital.com
47,L'Oréal India For Young Women In Science Scholarship - 2028,L'Oréal India,Class 12 Girls (Science),Class 12 (Girls),"Science,Research","Rs. 2,50,000 for graduation",15-10-2026,https://www.foryoungwomeninscience.co.in
48,Dr. Ambedkar Post Matric Scholarship for EBC Students - 2028,Ministry of Social Justice,EBC Postgraduate/Undergrad,Undergrad/Postgrad,"Government Jobs,Social Impact",Maintenance allowance and fees reimbursed,30-11-2026,https://scholarships.gov.in
49,Sitaram Jindal Foundation Scholarship - 2028,Sitaram Jindal Foundation,"Class 11 to Postgrad, ITI, Diploma",Class 11 to Postgrad,Social Impact,"Up to Rs. 3,200 / month",31-12-2026,https://sitaramjindalfoundation.org
50,INSPIRE Scholarship (SHE) - 2028,"DST, Govt of India",Class 12 Top 1% students in Board,B.Sc/Int. M.Sc,"Research,Science","Rs. 80,000 / year",31-12-2026,https://online-inspire.gov.in
51,AICTE Pragati Scholarship for Girl Students - 2028,AICTE,First Year Degree/Diploma Girls,B.Tech/Diploma,"Engineering,Technology","Rs. 50,000 / year",30-11-2026,https://www.aicte-india.org
52,Adobe India Women in Technology Scholarship - 2028,Adobe India,Undergraduate CSE/ECE Girls,B.Tech/BE (CSE/ECE),"Technology,AI/ML",Tuition fees + Intern interview,15-11-2026,https://www.adobe.com
53,K.C. Mahindra Scholarships for Post-Graduate Studies Abroad - 2028,K.C. Mahindra Education Trust,Graduates pursuing PG Abroad,Postgrad (Study Abroad),"Engineering,Business,Science","Up to Rs. 8,00,000 interest-free loan",31-03-2027,https://www.kcmet.org
54,LIC Golden Jubilee Scholarship - 2028,LIC of India,Class 12 / Diploma (EWS),Undergrad/Diploma,Social Impact,"Rs. 20,000 / year",24-12-2026,https://licindia.in
55,Prime Minister's Scholarship Scheme (PMSS) - 2028,Ministry of Defence,Wards of Ex-servicemen UG/PG,Undergrad/Postgrad,"Defence,Government Jobs","Up to Rs. 3,000 / month",30-11-2026,https://desw.gov.in
56,Olay Scholarship for Women in STEM - 2028,Olay India / Buddy4Study,Girls enrolled in STEM Degrees,Undergrad (STEM),"Science,Technology,Engineering","Rs. 1,00,000",15-12-2026,https://www.buddy4study.com
57,British Council Great Scholarships - 2028,British Council,Undergraduates going to UK,Postgrad (Study Abroad),All Branches,"GBP 10,000 tuition fee waiver",30-04-2027,https://study-uk.britishcouncil.org
