id,career,title,description,education,interests,subjects,career_type
1,software_engineer,Software Engineer,"Design, develop, and maintain software systems and applications.","B.Tech CSE/ECE, BCA, MCA, BSC CS","Technology,Engineering","Computer Science,Mathematics",Tech
2,ai_ml_engineer,AI/ML Engineer,"Build, train, and deploy machine learning and deep learning models to solve complex problems.","B.Tech CSE, M.Tech AI/ML, BCA/MCA with specialization","Technology,AI/ML,Research","Computer Science,Statistics,Calculus,Linear Algebra",Tech
3,data_analyst,Data Analyst,"Collect, process, and perform statistical analyses on large datasets to help businesses make decisions.","B.Sc Statistics, BCA, B.Tech, B.Com (Analytics)","Business,Technology,Finance","Statistics,Economics,Computer Science",Tech
4,product_manager,Product Manager,Guide the development and success of a product from conception through launch and iteration.,"MBA, B.Tech + Business experience, BBA","Business,Technology,Management","Management,Economics,Communication",Management
5,cybersecurity_analyst,Cybersecurity Analyst,Protect an organization's computer networks and systems from security breaches and cyber attacks.,"B.Tech CSE, B.Sc Cyber Security, MCA","Technology,Defence","Computer Science,Networking,Information Security",Tech
6,ui_ux_designer,UI/UX Designer,"Create intuitive, user-friendly, and visually appealing digital interfaces for applications and websites.","B.Des, B.Tech, BCA, Fine Arts","Design,Technology","Design,Psychology,HTML/CSS",Design
7,chartered_accountant,Chartered Accountant,"Manage financial audits, taxation, budgeting, and corporate finance consultancy for businesses.","CA, B.Com, M.Com","Finance,Business","Accounting,Taxation,Finance,Economics",Finance
8,civil_servant,Civil Servant (IAS/IPS),"Implement government policies, maintain law and order, and oversee district and state administrations in India.",Any Bachelor's Degree (UPSC CSE qualified),"Government Jobs,Social Impact,Defence","History,Polity,Geography,Economics,General Studies",Government
9,management_consultant,Management Consultant,Help organizations improve their performance by analyzing problems and proposing strategy recommendations.,"MBA from top institutes, B.Tech, B.Com","Business,Management,Finance","Management,Business Strategy,Communication",Management
10,biotechnology_researcher,Biotechnology Researcher,"Conduct laboratory research to develop biological products, medicines, and agricultural innovations.","B.Tech Biotech, B.Sc Biotech, M.Sc, Ph.D","Medicine,Research,Engineering","Biology,Chemistry,Biotechnology",Science
11,cloud_architect,Cloud Architect,"Design and manage an organization's cloud computing strategy, including adoption, application design, and management.","B.Tech CSE, BCA, MCA",Technology,"Computer Science,Networking,Cloud Computing",Tech
12,devops_engineer,DevOps Engineer,Bridge the gap between software development and IT operations to automate and streamline deployments.,"B.Tech CSE, BCA, MCA",Technology,"Computer Science,Systems Programming",Tech
13,investment_banker,Investment Banker,"Help corporations, governments, and other entities raise capital and make strategic financial moves like M&A.","MBA Finance, Chartered Accountant, B.Com","Finance,Business","Corporate Finance,Valuation,Accounting,Economics",Finance
14,marketing_manager,Marketing Manager,"Plan, direct, and coordinate marketing efforts to promote products and services.","MBA Marketing, BBA, B.Com","Business,Media","Marketing,Communication,Economics",Management
15,corporate_lawyer,Corporate Lawyer,"Advise businesses on their legal rights, responsibilities, and transactions, including contracts and compliance.","BA LLB, B.Com LLB, LLM","Law,Business","Law,Legal Writing,Constitutional Law",Law
16,defense_officer,Defense Officer (Army/Navy/Air Force),"Serve in the armed forces, leading operations, maintaining territorial integrity, and managing national security.","B.Tech, B.Sc, B.A (NDA/CDS/AFCAT qualified)","Defence,Government Jobs,Social Impact","General Studies,Physics,Mathematics,Leadership",Government
17,entrepreneur,Entrepreneur,"Start, build, and run new business ventures, managing financial risk for commercial success.",Any Degree,"Entrepreneurship,Business,Technology","Business Strategy,Finance,Leadership",Business
18,research_scientist,Research Scientist,"Conduct basic or applied scientific research to advance knowledge in physical, chemical, or mathematical sciences.","B.Sc, M.Sc, Ph.D","Research,AI/ML","Physics,Chemistry,Mathematics,Research Methodology",Science
19,public_relations_specialist,Public Relations Specialist,"Manage the public image, media relations, and communications for organizations and individuals.","BJMC, BA English, MBA","Media,Business","Communication,Journalism,Public Relations",Media
20,data_engineer,Data Engineer,"Build systems and pipelines that compile and analyze raw, unstructured data for data science use.","B.Tech CSE, BCA, MCA",Technology,"Computer Science,Database Systems",Tech
21,frontend_developer,Frontend Developer,"Develop client-side web applications using React, HTML, CSS, JavaScript.","B.Tech CSE, BCA, B.Sc CS","Technology,Design","Computer Science,HTML/CSS",Web & Cloud
22,backend_developer,Backend Developer,"Develop server-side systems, databases, and APIs using Node.js, Python, Java.","B.Tech CSE, BCA, MCA",Technology,"Computer Science,Database Systems",Web & Cloud
23,full_stack_developer,Full Stack Developer,Build both front-end and back-end parts of web applications.,"B.Tech CSE, BCA, MCA",Technology,"Computer Science,HTML/CSS,Database Systems",Web & Cloud
24,mobile_app_developer,Mobile App Developer,Develop applications for iOS and Android devices.,"B.Tech CSE, BCA, MCA",Technology,"Computer Science,Mobile Programming",Web & Cloud
25,database_administrator,Database Administrator,"Manage, secure, and maintain relational and non-relational database systems.","B.Tech CSE, BCA, MCA",Technology,"Computer Science,Database Systems",Data & AI
26,game_developer,Game Developer,"Design, model, and code interactive 2D and 3D computer and mobile games.","B.Tech CSE, BCA, B.Des","Technology,Design","Computer Science,3D Modeling",Technology
27,qa_automation_engineer,QA Automation Engineer,Write automated tests to verify the quality and correctness of software.,"B.Tech CSE, BCA, MCA",Technology,"Computer Science,Testing",Technology
28,network_security_engineer,Network Security Engineer,"Design, implement, and support secure computer networking infrastructure.","B.Tech CSE, BCA, MCA","Technology,Defence","Computer Science,Networking",Technology
29,cloud_devops_architect,Cloud DevOps Architect,Provide architectural leadership for cloud deployments and automation.,"B.Tech CSE, MCA",Technology,"Computer Science,Cloud Computing",Web & Cloud
30,systems_administrator,Systems Administrator,"Install, configure, and maintain computer systems and servers.","B.Tech CSE, BCA, MCA",Technology,"Computer Science,Systems Programming",Technology
31,vlsi_design_engineer,VLSI Design Engineer,Design integrated circuits and microchips for hardware platforms.,"B.Tech ECE, M.Tech VLSI","Engineering,Technology","Electronics,Physics,Mathematics",Engineering
32,embedded_systems_engineer,Embedded Systems Engineer,Develop hardware-software systems like microcontrollers and IoT devices.,"B.Tech ECE/EEE, BCA","Engineering,Technology","Electronics,Computer Science",Engineering
33,aerospace_engineer,Aerospace Engineer,"Design, test, and manufacture aircraft, spacecraft, satellites, and missiles.",B.Tech Aerospace/Mechanical,"Engineering,Defence,Research","Physics,Mathematics,Aerodynamics",Engineering
34,mechanical_design_engineer,Mechanical Design Engineer,Design mechanical components and systems using CAD tools.,B.Tech Mechanical,Engineering,"Physics,Mathematics,CAD",Engineering
35,civil_site_engineer,Civil Site Engineer,"Oversee and manage construction projects like buildings, roads, and bridges.","B.Tech Civil, Diploma Civil",Engineering,"Physics,Civil Engineering",Engineering
36,chemical_engineer,Chemical Engineer,Design chemical plants and processes for manufacturing chemicals and fuels.,B.Tech Chemical,"Engineering,Research","Chemistry,Mathematics,Chemical Processes",Engineering
37,financial_risk_analyst,Financial Risk Analyst,Identify and analyze potential financial risks facing an organization.,"B.Com, B.Sc Math/Stats, MBA","Finance,Business","Statistics,Finance,Economics",Finance
38,stock_trader___portfolio_manager,Stock Trader / Portfolio Manager,Analyze stock markets and invest in financial assets for returns.,"B.Com, BBA, B.Sc Math","Finance,Business","Economics,Finance,Statistics",Finance
39,tax_consultant,Tax Consultant,Advise individuals and corporations on tax planning and legal compliance.,"B.Com, CA, LLB","Finance,Business,Law","Taxation,Accounting,Law",Finance
40,human_resource_manager,Human Resource Manager,"Manage employee recruitment, relations, training, and company culture.","MBA HR, BBA, B.Com","Business,Management","Management,Communication,Psychology",Management
41,operations_manager,Operations Manager,"Design, manage, and optimize business operations and supply chains.","MBA Operations, B.Tech, BBA","Business,Management","Management,Operations Research",Management
